Annee,Population
1974,"0.82.
1975,"25.44"
1976,"26.22"
1977,"0.00"
1978,"0.00"
1979,"0.00"
1980,"0.00"
1981,"0.00"
1982,"6.27"
1983,"32.30"
1984,"0.00"
1985,"0.00"
1986,"12.30"
1987,"4.34"
1988,"0.00"
1989,"14.05"
1990,"28.11"
1991,"1.78"
1992,"9.57"
1993,"0.00"
1994,"12.12"
1995,"28.13"
1996,"0.00"
1997,"14.98"
1998,"17.92"
1999,"0.14"
2000,"0.26"
2001,"13.38"
2002,"2.68"
2003,"57.58"
2004,"0.81"
2005,"10.92"
2006,"58.49"
2007,"1.46"
2008,"0.00"
2009,"6.71"
2010,"9.30"
2011,"19.38"
2012,"33.75"
2013,"28.19"
2014,"0.00"
2015,"33.18"
2016,"20.45"
2017,"46.44"
2018,"47.97"
